[16:37:51.237260] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #16)
[16:37:51.290809] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[16:37:51.318561] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #18)
[16:37:51.342669] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[16:37:51.368055] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #155)
[16:37:51.386920] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #159)
[16:37:51.417883] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #183)
[16:37:51.438561] 'ToJSON' function (Location: 'Bases/BaseID.cs', Line: #66)
[16:37:51.882718] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #16)
[16:37:51.898296] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[16:37:51.931181] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #18)
[16:37:51.971539] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[16:37:51.986388] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #155)
[16:37:52.002484] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #159)
[16:37:52.018746] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #183)
[16:37:52.035047] 'ToJSON' function (Location: 'Bases/BaseID.cs', Line: #66)
[16:52:27.155358] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #16)
[16:52:27.196847] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[16:52:27.219663] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #18)
[16:52:27.250517] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[16:52:27.278841] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #155)
[16:52:27.298603] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #159)
[16:52:27.330983] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #183)
[16:52:27.364448] 'ToJSON' function (Location: 'Bases/BaseID.cs', Line: #66)
[16:52:27.776163] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #16)
[16:52:27.798878] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #19)
[16:52:27.820625] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #18)
[16:52:27.847895] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[16:52:27.869701] 'BaseID' primary constructor (Location: 'Bases/BaseID.cs', Line: #155)
[16:52:27.898053] 'BaseID' constructor (Location: 'Bases/BaseID.cs', Line: #159)
